Dates,ACMESIE LX Equity,RCMSTYL LX Equity,ALEPTEU LX Equity,AEEI2EC LX Equity,CAIXEIA LX Equity,AXWEOFC LX Equity,AXWECEI LX Equity,MEREMAI LX Equity,ETDD FP Equity,CSEMICE LX Equity,CSESDBEL LX Equity,CSIEEDE LX Equity,PAMEULF BB Equity,DIICEIC LX Equity,DWSTEFC LX Equity,STHOPMI FP Equity,FIDFEBI LX Equity,FJ2C GR Equity,GEQ50AD LX Equity,HSBEURQ LX Equity,HSBCLGI LX Equity,BGEURAX LX Equity,HENEUDI LX Equity,JPEDCAC LX Equity,FLEEUEC LX Equity,SGEURIE LX Equity,METVSRI FP Equity,MEZEI1E ID Equity,NATISRI LX Equity,MOREFAI LX Equity,INGEHDI LX Equity,PIPTFEI LX Equity,SIEEACE LX Equity,SSEIIEU LX Equity,SSGFESI LX Equity,TEMGRIA LX Equity,UBSEITL LX Equity,UECIEQD LX Equity,UGEURSA LX Equity,VANESII ID Equity
21/09/2018,29.92,12.13,1180.7,9.47,1856.81,80.79,254.44,29.45,9.049,1213.68,999.9,1164.24,208.5,298.13,229.01,230.9,22.82,10.507,119.16,42.74,19.213,108.01,49.42,141.17,24.82,1500.9615,324.32,211.74,74781.14,12.85,650.59,194.02,97.8199,12.725,10.38,22.57,102.53,91.45,1189.03,201.3737
24/09/2018,29.69,12.06,1173.66,9.4,1846.49,80.34,253.36,29.3,8.994,1205.24,1006,1157.32,207.35,296.02,228.34,229.99,22.67,10.474,118.47,42.518,19.144,108.26,49.36,140.87,24.77,1492.8086,322.82,211.16,74340.78,12.82,645.31,192.95,97.4234,12.6496,10.31,22.48,102.24,91.02,1182.09,199.8817
25/09/2018,29.75,12.07,1177.62,9.42,1855.46,80.84,254.16,29.57,9.03,1208.19,1001.6,1159.93,208.64,295.23,229.96,230.76,22.76,10.504,118.75,42.465,19.222,108.01,49.54,141.54,24.9,1497.4521,323.97,211.17,74410.68,12.88,646.03,193.87,97.4247,12.678,10.31,22.53,102.92,91.1,1183.23,200.6302
26/09/2018,29.76,12.04,1179.54,9.45,1861.37,80.99,253.95,29.58,9.064,1209.31,1006.2,1162.41,208.93,294.6,229.8,230.75,22.79,10.501,119.26,42.527,19.262,108.37,49.41,141.73,24.9,1500.4175,323.84,212,74600.78,12.9,646.22,194.46,97.0199,12.7056,10.3,22.51,103.14,91.39,1185.83,201.0569
27/09/2018,29.85,12,1172.6,9.47,1868.96,81.25,254.36,29.61,9.106,1212.54,1008,1166.17,209.31,295.95,230.11,231.37,22.91,10.556,119.77,42.644,19.321,108.5,49.39,142.24,24.96,1504.6559,324.93,212.97,74860.74,12.97,647.33,195.25,96.7731,12.7472,10.32,22.5,103.5,91.73,1190.69,201.401
28/09/2018,29.49,12.02,1175.69,9.36,1853.62,80.29,250.64,29.32,8.972,1195.22,1011.4,1151.03,206.67,294.51,227.54,229.11,22.56,10.448,116.61,42.034,19.148,108.65,49.03,140.65,24.71,1485.2985,319.73,211.37,74064.04,12.83,638.45,193.63,96.5975,12.6007,10.2,22.27,102.43,90.95,1184.51,198.7824
01/10/2018,29.52,12.03,1173.66,9.39,1857.16,80.82,252.18,29.6,9.014,1200.09,998.4,1154.81,207.53,296.11,229.49,229.99,22.59,10.473,116.94,42.062,19.213,108.22,49.21,141.54,24.94,1489.9107,318.81,212.22,74392.6,12.94,639.96,193.99,95.922,12.6416,10.15,22.31,102.76,91.16,1184.06,199.4283
02/10/2018,29.35,11.87,1165.46,9.3,1847.85,80.13,250.11,29.29,8.951,1190.93,1002.2,1147.86,206.48,294.33,227.39,228.58,22.47,10.403,116.07,41.773,19.055,108.41,48.62,140.79,24.65,1480.8051,316.95,211.64,73968.67,12.82,636.7,193.05,96.0225,12.5468,10.12,22.26,101.97,90.79,1178.3,198.5281
03/10/2018,29.54,11.96,1174.21,9.34,1847.85,80.43,250.55,29.47,9.008,1193.6,995.7,1152.8,207,294.33,228.36,229.43,22.63,10.47,116.57,42.049,19.139,107.86,48.95,141.57,24.8,1486.9516,318.56,212.03,74258.03,12.86,640.1,193.05,95.7976,12.5468,10.19,22.36,102.25,91.15,1178.3,199.0805
04/10/2018,29.35,11.93,1167.88,9.26,1838.03,79.72,248.16,29.21,8.911,1178.73,999.4,1141.66,205.17,292.63,225.6,226.59,22.45,10.358,115.61,41.919,18.905,108.17,48.54,140.5,24.56,1472.8012,317.78,210.29,73457.41,12.78,635.33,192.01,96.2473,12.4792,10.15,22.2,101.1,90.51,1170.51,197.1581
